	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
LOC_Os03g26460.MSUR7	1255.72613112842	4.1499127482099	0.273750159984307	15.1594897641258	6.55767906223197e-52	5.48221969602593e-49
LOC_Os03g29190.MSUR7	51.2981774363892	-1.77490356337679	0.509491435414927	-3.48367693743726	0.000494576086656921	0.0141998289769054
LOC_Os03g30300.MSUR7	78.6850611413726	4.91680748542203	0.532537828048214	9.23278540313738	2.63684000165014e-20	6.35165594973759e-18
LOC_Os03g31300.MSUR7	7168.12597497572	4.26734331699629	0.233218228247985	18.2976405791864	8.64108603738763e-75	1.75438735376219e-71
LOC_Os03g31550.MSUR7	619.952847438391	1.20221618319433	0.269068265056839	4.46807126414692	7.89280137700853e-06	0.000380245739559475
LOC_Os03g38500.MSUR7	29.0568895396916	1.82669550374502	0.598412500560836	3.05256909244548	0.00226891491473066	0.0498389780033264
LOC_Os03g38730.MSUR7	305.934639406053	-1.01233159080495	0.321484018102715	-3.14893286695673	0.00163867835011623	0.038879627231806
LOC_Os03g38960.MSUR7	108.707816815461	1.67862289328135	0.380351664469268	4.4133444127914	1.01785875072503e-05	0.000468554665516982
LOC_Os03g38970.MSUR7	211.446394047427	0.955505567032349	0.302372123508376	3.16003193662753	0.00157751846218761	0.0376801552682527
LOC_Os03g40100.MSUR7	221.133757585951	-1.03693060952167	0.310360179940796	-3.34105557523351	0.000834605151209519	0.0223418732052644
LOC_Os03g40260.MSUR7	54.8386210571745	2.28477458224416	0.469493819338796	4.86646360001476	1.13612836762663e-06	6.75592316347686e-05
LOC_Os03g42810.MSUR7	75.2782013492248	1.96317302485061	0.450523894996193	4.3575336328547	1.31536290708369e-05	0.000580557069424641
LOC_Os03g44780.MSUR7	81.6294929805012	1.82147918426287	0.426242976807975	4.27333535886845	1.92570489291545e-05	0.000824340901750432
LOC_Os03g45619.MSUR7	446.435797157434	-1.8505121149341	0.300452009554585	-6.15909381893453	7.31623759090488e-10	7.58966194466716e-08
LOC_Os03g49380.MSUR7	38.9239133115864	1.75638840067278	0.548609253828191	3.20152893597168	0.00136700344727795	0.0334903899461027
LOC_Os03g49430.MSUR7	30.4403016376955	4.51283435905601	0.74602460997266	6.04917625870466	1.45588308693595e-09	1.42696623665749e-07
LOC_Os03g49730.MSUR7	55.9913936866995	2.40700411394608	0.468054563177822	5.14257162157314	2.71003075911514e-07	1.83107499162248e-05
LOC_Os03g50130.MSUR7	295.082385191975	2.59001349313936	0.319781539918629	8.09932147364855	5.52665640708747e-16	9.46323383825628e-14
LOC_Os03g50860.MSUR7	231.505745049561	1.42503540263443	0.303863464613372	4.68972274915513	2.73575476144393e-06	0.000148399033090233
LOC_Os03g50870.MSUR7	1080.79734481376	1.15303496863523	0.293871246492104	3.92360594103312	8.72333786429696e-05	0.0031228231165589
LOC_Os03g51010.MSUR7	85.4497748759583	2.46070091347379	0.525706044528869	4.680754461705	2.85821100381081e-06	0.000154452071430263
LOC_Os03g51459.MSUR7	24.8261192359448	6.28704133062652	1.192660506259	5.2714425418068	1.35355663628452e-07	9.66670699239978e-06
LOC_Os03g51650.MSUR7	322.746878054806	-1.0364266325616	0.313697624689499	-3.30390334828793	0.000953486984296233	0.0250943648533668
LOC_Os03g51920.MSUR7	868.266000894988	5.45788519515225	0.377243128231134	14.467818726729	1.93512168774139e-47	1.30961663934193e-44
LOC_Os03g52340.MSUR7	78.0880484756441	1.92853062758092	0.413159755491777	4.66776011445119	3.04501122693668e-06	0.000162690599839189
LOC_Os03g53340.MSUR7	132.162155805693	5.99822216873167	1.32197230546778	4.53732816029698	5.69714187909253e-06	0.000286105231044746
LOC_Os03g53400.MSUR7	69.3953135881559	10.2091108183366	1.50335559166542	6.79088226028213	1.11449856105297e-11	1.3894082061127e-09
LOC_Os03g53800.MSUR7	887.735428844142	-1.20765655743701	0.255180040678561	-4.73256667812137	2.21698442017558e-06	0.000123722995637131
